Review_Text,Sentiment
"The service was GREAT!",1
"i hate this place... very bad service",0
"Excellent food and nice atmosphere :)",1
"Terrible experience <br> never come back",0
"the food was okay, nothing special.",1
"   SO DISAPPOINTING!!!   ",0
"Good value for money.",1
"Wait too long... bad!!",0
"Delicious!!!!!",1
"worst service ever <p> unclean </p>",0
"Friendly staff and quick service.",1
"The food was cold and tasteless.",0
"Best dining experience in a long time!",1
"The portion size was too small for the price.",0
"Love the decor and the vibe here.",1
"Dirty tables and rude waiters.",0
"I will definitely recommend this to my friends.",1
"The smell inside the restaurant was unpleasant.",0
"Highly impressed with the new menu.",1
"Overpriced and overhyped.",0
